Páginas;Formato;Cor;Papel Miolo;Papel Capa;50;100;150
4 Páginas;21 x 28 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;499,58;778,02;960,87
4 Páginas;21 x 28 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;506,10;794,36;979,11
4 Páginas;21 x 28 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;586,37;888,39;1.096,96
4 Páginas;21 x 28 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;592,87;904,74;1.036,12
4 Páginas;21 x 28 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;521,84;800,20;968,80
4 Páginas;21 x 28 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;528,35;816,54;987,05
4 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Offset 90g;Couché Fosco 115g;510,71;800,22;994,17
4 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Offset 90g;Couché Fosco 150g;517,33;816,80;1.012,76
4 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Reciclato 90g;Couché Fosco 115g;599,82;913,71;1.054,46
4 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Reciclato 90g;Couché Fosco 150g;606,44;930,29;1.071,73
4 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;532,26;820,67;999,51
4 Páginas;A4 (21,0 x 29,7 cm);1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;538,89;837,25;1.018,11
4 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Offset 90g;Couché Fosco 115g;510,71;800,22;994,17
4 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Offset 90g;Couché Fosco 150g;517,33;816,80;1.012,76
4 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Reciclato 90g;Couché Fosco 115g;599,82;913,71;1.054,46
4 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Reciclato 90g;Couché Fosco 150g;606,44;930,29;1.071,73
4 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;532,26;820,67;999,51
4 Páginas;A4 (21,0 x 29,7 cm);4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;538,89;837,25;1.018,11
4 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Offset 90g;Couché Fosco 115g;413,24;605,61;702,27
4 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Offset 90g;Couché Fosco 150g;418,85;620,16;717,82
4 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Reciclato 90g;Couché Fosco 115g;481,87;691,74;801,98
4 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Reciclato 90g;Couché Fosco 150g;487,49;706,30;817,54
4 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;440,97;641,23;730,35
4 Páginas;A5 (14,8 x 21,0 cm);1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;446,57;655,78;745,91
4 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Offset 90g;Couché Fosco 115g;413,24;605,61;702,27
4 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Offset 90g;Couché Fosco 150g;418,85;620,16;717,82
4 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Reciclato 90g;Couché Fosco 115g;481,87;691,74;801,98
4 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Reciclato 90g;Couché Fosco 150g;487,49;706,30;817,54
4 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;440,97;641,23;730,35
4 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;446,57;655,78;745,91
8 Páginas;20 x 20 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;526,20;831,09;1.040,49
8 Páginas;20 x 20 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;532,10;846,23;1.056,91
8 Páginas;20 x 20 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;626,85;960,01;1.118,98
8 Páginas;20 x 20 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;632,74;975,14;1.134,25
8 Páginas;20 x 20 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;544,28;843,01;1.033,01
8 Páginas;20 x 20 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;550,17;858,14;1.049,43
8 Páginas;20 x 20 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;526,20;831,09;1.040,49
8 Páginas;20 x 20 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;532,10;846,23;1.056,91
8 Páginas;20 x 20 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;626,85;960,01;1.118,98
8 Páginas;20 x 20 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;632,74;975,14;1.134,25
8 Páginas;20 x 20 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;544,28;843,01;1.033,01
8 Páginas;20 x 20 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;550,17;858,14;1.049,43
8 Páginas;21 x 15 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;481,63;742,10;907,00
8 Páginas;21 x 15 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;487,25;756,68;922,59
8 Páginas;21 x 15 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;571,15;856,15;1.048,60
8 Páginas;21 x 15 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;576,77;870,74;1.064,20
